Title,URL,Duration,Date,Views,Likes,Dislikes,Show,Description,Day Of The Week,Days Since Published,Views Per Day,Likes Per Day,Dislikes Per Day,Likes Minus Dislikes,Geoff,Jack,Gavin,Ryan,Ray,Michael,Lindsey,Caleb,Kdin,Matt,Jeremy,Barbara,Brandon,Burnie,Kerry,Dan,Lindsay
Let's Play - Hot Seat: 3D Ultra Minigolf Featuring Andrew Blanchard,https://www.youtube.com/watch?v=rTf_d-q8vsA,32.0,2015-06-25,412277,7693,555,Let's Play,The AH Crew put Andrew Blanchard in the Hot Seat and learn all of his deepest most terrible secrets. There are a lot of them as it turns out. || FREE EDGAR: ...,Thursday,21,19632.0,366.0,26.0,7138,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play - Dirty Bomb (AH VS FH),https://www.youtube.com/watch?v=WJfJGIaUwZU,19.0,2015-06-24,439307,7131,313,Let's Play,Achievement Hunter fresh from their win against the nerds over at FunHaus have thrown down the gauntlet once again! Will their hubris be their inevitable dow...,Wednesday,22,19968.0,324.0,14.0,6818,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play - Beach Buggy Racing,https://www.youtube.com/watch?v=YQCtCqy_kzc,23.0,2015-06-24,394072,6808,490,Let's Play,Six Players. One screen. A complete fluster cluck! || FREE EDGAR: http://bit.ly/LetsPlayChannel || Be part of the Achievement Hunter Crew: http://bit.ly/achi...,Wednesday,22,17912.0,309.0,22.0,6318,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Open Three Chests (Xbox One Edition) - GO! #87,https://www.youtube.com/watch?v=RBy7DRWed5c,10.0,2015-06-23,430144,9138,95,Unknown,"We\xe2\x80\x99ve definitely never done this Go before. Nope. Alright, well, if we did it definitely wasn\xe2\x80\x99t as cool. First to open a chest in three different games wins ...",Tuesday,23,18702.0,397.0,4.0,9043,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play - Echo of Soul Part 2,https://www.youtube.com/watch?v=InkG2dciHwg,30.0,2015-06-23,160008,2314,207,Let's Play,"With their Germany trip at an end, can the Achievement Hunter&#39;s finish the journey with the win in an epic boss battle? They must team up, use all their expe...",Tuesday,23,6957.0,101.0,9.0,2107,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play - GTA V - Free Play Ill Gotten Gains,https://www.youtube.com/watch?v=v2CHWZcWMQo,43.0,2015-06-22,825232,13514,353,Let's Play,"Geoff, Ryan, Michael, Jack and a special guest have some free play time with the new GTA DLC Ill Gotten Gains! FREE EDGAR: http://bit.ly/LetsPlayChannel || B...",Monday,24,34385.0,563.0,15.0,13161,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Gmod Prop Hunt - The Stream Team (Twitch Highlights),https://www.youtube.com/watch?v=JHThRsrmmKA,8.1,2015-06-21,276881,4744,1607,Unknown,"Stop, drop, and pop a shot into a prop! This week Matt and Trevor misplace Jeremy and hunt down some props in Garry&#39;s Mod! To watch the streams live, tune in...",Sunday,25,11075.0,190.0,64.0,3137,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
Let's Play With Your Mom: Left 4 Dead 2 - RT Podcast LP,https://www.youtube.com/watch?v=w7XFW032O20,11.0,2015-06-21,237371,8376,144,Let's Play,"Chris invites his mom to play some Left 4 Dead 2 along with Adam and Joel. There\xe2\x80\x99s lots of blood, death and baby pictures. (We lied about the baby pictures.)...",Sunday,25,9495.0,335.0,6.0,8232,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play - Destiny: House of Wolves Strike,https://www.youtube.com/watch?v=QxyIP95gevk,23.0,2015-06-20,270926,4847,105,Let's Play,The Gents are in the last stretch of the DLC. The only thing that stands between them and ultimate completion is the dreaded nightfall strike. Will arc burn ...,Saturday,26,10420.0,186.0,4.0,4742,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play - Echo of Soul,https://www.youtube.com/watch?v=8bv4zIHn4ac,30.0,2015-06-19,325507,4479,337,Let's Play,The AH crew gather their wits and fly all the way to Germany to play Echo of Soul! || FREE EDGAR: http://bit.ly/LetsPlayChannel || Be part of the Achievement...,Friday,27,12056.0,166.0,12.0,4142,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
